,Unnamed: 0,Mutants,Initial_Seeds,Mutants (Intermediate Language),Mutants (RTT Translation),BW_Label
296,298,"lines ending with the string <M0> then a character , up to 3 times","lines ending with the string <M0> followed by a character , up to 3 times",以字符串<M0>结尾的行，然后是一个字符，最多3次,"the line ending with the string <M0> , then one character , up to 3 times",correct
297,299,"lines ending with the string <M0> followed by characters , up to 3 times","lines ending with the string <M0> followed by a character , up to 3 times",以字符串<M0>结尾的行，其后是个字符，最多3次,"the line ending with the string <M0> , followed by characters , up to 3 times",correct
298,300,"lines arranged with numbers or a lower-case letter , up to 3 times in total","lines arranged with a number or a lower-case letter , up to 3 times in total",以数字或小写字母排列的行，总共最多3次,"lines arranged in numbers or lowercase letters , up to 3 times in total",correct
299,301,"lines arranged with a digit or a lower-case letter , up to 3 times in total","lines arranged with a number or a lower-case letter , up to 3 times in total",以数字或小写字母排列的行，总共最多3次,"lines arranged in numbers or lowercase letters , up to 3 times in total",correct
300,302,"lines not having an upper case letter , not letters , and not a character","lines not having an upper case letter , not a letter , and not a character",没有大写字母，不是字母和字符的行,"no capital letters , not letters and character lines",correct
301,303,"lines not having an upper case letter , not lettered words , and not a character","lines not having an upper case letter , not a letter , and not a character",没有大写字母，没有字母的单词和字符的行,"no capital letters , no letter words and character lines",correct
302,304,lines not ending with a letter nor a lower-case letter,lines not ending with a letter and not a lower-case letter,行不以字母或小写字母结尾,the line does not end with a letter or lowercase letter,correct
303,305,lines not ending with lettered words and not a lower-case letter,lines not ending with a letter and not a lower-case letter,行不以字母单词而不是小写字母结尾,the line does not end in a letter word instead of a lowercase letter,correct
304,306,"lines not containing only the string <M0> , no more than three times","lines not containing only the string <M0> , no more than 3 times",仅包含字符串<M0>的行，最多不超过三行,"only lines containing the string <M0> , no more than three lines",bug
305,307,rows consisting of the string <M0>,lines consisting of the string <M0>,由字符串<M0>组成的行,line consisting of the string <M0>,correct
306,308,strings consisting of the string <M0>,lines consisting of the string <M0>,由字符串<M0>组成的字符串,string composed of string <M0>,correct
307,309,lines starting with digits in front of a lower-case letter,lines starting with digits before a lower-case letter,以小写字母开头的数字开头的行,lines beginning with numbers beginning with lowercase letters,bug
308,310,lines starting with digits before a lowercase letter,lines starting with digits before a lower-case letter,以小写字母前的数字开头的行,lines beginning with a number before a lowercase letter,bug
309,311,"lines arranged with the string <M0> in front of a string that is not a vowel , 2 or more times","lines arranged with the string <M0> before a string that is not a vowel , 2 or more times",在不是元音的字符串前面以字符串<M0>排列的行2次或更多次,2 or more lines arranged in the string <M0> before the string that is not a vowel,correct
310,312,"lines arranged with the string <M0> before a string that is not a vowel , 2 or more consecutive times","lines arranged with the string <M0> before a string that is not a vowel , 2 or more times",在不是元音的字符串之前用字符串<M0>排列的行，连续两次或更多次,"lines arranged with the string <M0> before a string that is not a vowel , two or more consecutive times",correct
311,313,rows with the string <M0> at least once or containing a capital letter,lines with the string <M0> at least once or containing a capital letter,字符串<M0>至少一次或包含大写字母的行,string <M0> at least once or a line containing uppercase letters,correct
312,314,rows not having a lower case letter,rows not having a lower-case letter,没有小写字母的行,lines without lowercase letters,correct
313,315,rows not having a lowercase letter,rows not having a lower-case letter,没有小写字母的行,lines without lowercase letters,correct
314,316,"strings with vowels in front of the string <M0> , up to seven times","strings with vowels in front of the string <M0> , up to 7 times",字符串<M0>前面带有元音的字符串，最多七次,"string with a vowel in front of the string <M0> , up to seven times",correct
315,317,"lines containing a vowel or lettered words , no more than six times","lines containing a vowel or lettered words , no more than 6 times",包含元音或字母单词的行，最多不超过6次,"lines containing vowels or letter words , no more than 6 times",correct
316,318,"strings not having vowels , letters , or characters","strings not having a vowel , letters , or characters",没有元音，字母或字符的字符串,"string without vowels , letters or characters",correct
317,319,rows with words that don't have a vowel at least one time,rows with words that don't have a vowel at least once,至少一次没有元音的单词的行,lines of words without vowels at least once,correct
318,320,rows with words that don't have vowels at least once,rows with words that don't have a vowel at least once,行中至少有一次没有元音的单词,words without vowels at least once in the line,correct
319,321,"lines not composed of only the string <M0> , greater than or equal to 0 times","lines not containing only the string <M0> , greater than or equal to 0 times",不仅由字符串<M0>组成的行，还大于或等于0次,"not only a line composed of the string <M0> , but also greater than or equal to 0 times",bug
320,322,"strings not containing only the string <M0> , greater than or equal to 0 times","lines not containing only the string <M0> , greater than or equal to 0 times",不只包含字符串<M0>的字符串，大于或等于0次,"strings not only containing the string <M0> , greater than or equal to 0 times",correct
321,323,"rows with the string <M0> or ending with the string <M1> , six or more consecutive times","rows with the string <M0> or ending with the string <M1> , six or more times",连续六次或更多次以字符串<M0>或以字符串<M1>结尾的行,lines ending with the string <M0> or string <M1> six or more consecutive times,correct
322,324,"rows with the string <M0> or ending with the string <M1> , six or greater times","rows with the string <M0> or ending with the string <M1> , six or more times",字符串<M0>或字符串<M1>结尾的行，六次或更多次,"the line at the end of the string <M0> or string <M1> , six or more times",bug
323,325,"rows not having a digit , not a vowel , and not a capitalizedized letter","rows not having a digit , not a vowel , and not a capitalized letter",没有数字，元音和大写字母的行,"lines without numbers , vowels and capital letters",correct
324,326,"rows not having a digit , not a vowel , and not an upper caseized letter","rows not having a digit , not a vowel , and not a capitalized letter",没有数字，元音和大写字母的行,"lines without numbers , vowels and capital letters",correct
325,327,rows with a character then letters,rows with a character followed by letters,带有字符然后字母的行,lines with characters and then letters,correct
326,328,rows with characters followed by letters,rows with a character followed by letters,字符后跟字母的行,line of characters followed by letters,correct
