No.,Buggy_Trip_Plural_Evaluator1,Buggy_Trip_Plural_Evaluator2,Buggy_Trip_Plural_Consistent,Translation_Label_Evaluator1,Translation_Label_Evaluator2,Translation_Label_Consistent,Bug_Type_Evaluator1,Bug_Type_Evaluator2,Bug_Type_Consistent,Source_Sentence,Source_Regex,Intermediate_Sentence,Translated_Sentence,Translated_Regex,LEVEN,LEVEN_Norm,Dep_Distance,DEP,DEP_Norm,SBERT,SBERT_Norm,BLEU,BLEU_Norm,REG,REG_Norm,DFA_Raw,DFA,DFA_Norm,HYB,HYB_Norm
260,FW,FW,FW,bug,bug,bug,"affiliation, mistranslation",mistrans/affiliation,"affiliation, mistranslation","lines arranged with words that have the string <M0> in front of a character , up to six times","( \ b ( <M0> ) . * ( . ) . * \ b ) { 6 , }",用字符开头的字符串<M0>排列的单词的行，最多六次,"rows of words arranged with character string <M0> beginning with characters , up to six times","( \ b ( <M0> ) ( . * ) \ b ) { 6 , }",0.569892473,0.510270123,13,0.434782609,0.31578947399999996,0.908923138,0.7234666409999999,0.693510882,0.608750892,0.666666667,0.6190476189999999,-1.0,0.0,0.0,0.333333333,0.288888889
261,c,plural,None,correct,bug,correct,,,,"strings having either the string <M0> , vowels , or the string <M1> before numbers",( ( <M0> ) | ( [ <VOW> ] ) + | ( <M1> ) ) . * ( [ <NUM> ] ) + . *,在数字前具有字符串<M0>，元音或字符串<M1>的字符串,"character string with string <M0> , vowel or string <M1> before the number","( ( . * ) ( ( <M0> ) { 4 , } ) ) . * ( [ <NUM> ] ) . *",0.634146341,0.588636773,8,0.6521739129999999,0.578947369,0.9519520859999999,0.857237977,0.709323103,0.63106259,0.590909091,0.5324675320000001,0.0,0.0,0.0,0.295454545,0.248484848
262,c,FW,FW,correct,bug,correct,,,,rows with the string <M0> in front of a number or the string <M1>,( <M0> ) . * ( ( [ <NUM> ] ) | ( <M1> ) ) . *,在数字前面或字符串<M1>前面的字符串<M0>的行,the line of the string <M0> before the number or before the string <M1>,( ( <M0> ) . * ( [ <NUM> ] ) . * ) | ( ( [ <NUM> ] ) . * ( <M1> ) . * ),0.61971831,0.571039755,2,0.913043478,0.894736842,0.9356281129999999,0.806488894,0.639829833,0.533004707,0.52,0.451428571,0.54654,0.5465399999999999,0.5465399999999999,0.53327,0.502154667
263,c,,None,correct,correct,correct,,,,rows not having the string <M0> before a number,~ ( ( <M0> ) . * ( [ <NUM> ] ) . * ),在数字前没有字符串<M0>的行,there is no line with string <M0> before the number,( <M0> ) . * ( [ <NUM> ] ) . *,0.666666667,0.628299895,7,0.695652174,0.6315789479999999,0.9234855740000001,0.7687393379999999,0.627752934,0.5159637020000001,0.7692307690000001,0.736263736,-1.0,0.0,0.0,0.384615385,0.343589744
264,p,plural,p,bug,bug,bug,,,,"strings with a number in front of a capital letter or either a lower-case letter , the string <M0> , or the string <M1>",( ( [ <NUM> ] ) . * ( [ <CAP> ] ) . * ) | ( ( [ <LOW> ] ) | ( <M0> ) | ( <M1> ) ),在大写字母或小写字母，字符串<M0>或字符串<M1>前面带有数字的字符串,"string with numbers in front of uppercase or lowercase letters , string <M0> or string <M1>",( ( . * ) ( [ <NUM> ] ) + ) . * ( ( . ) | ( [ <LET> ] ) + ) . *,0.6722689079999999,0.635132618,14,0.39130434799999997,0.263157895,0.946525397,0.840367115,0.584414836,0.45481185,0.423076923,0.340659341,0.072258,0.072258,0.072258,0.247667462,0.197511959
265,c,FW,FW,correct,bug,bug,plurality,p,plurality,"lines ending with a character followed by the string <M0> , 4 or greater times","( ( . * ) ( . . * <M0> . * ) ) { 4 , }",以字符结尾的行，其后跟字符串<M0>，4次或更多次,"character-terminated lines , followed by the string <M0> , 4 or more times","( . * ) ( ( [ <NUM> ] . * <M0> . * ) { 4 , } )",0.564102564,0.503208513,8,0.6521739129999999,0.578947369,0.971825798,0.9190227329999999,0.71969734,0.645701069,0.666666667,0.6190476189999999,0.224971,0.224971,0.224971,0.44581883299999997,0.40887342200000004
266,p,,None,bug,correct,correct,,,,"lines not having the string <M0> , a character , or a lower case letter",~ ( ( <M0> ) | ( . ) | ( [ <LOW> ] ) ),没有字符串<M0>，字符或小写字母的行,"lines without string <M0> , characters or lowercase letters",~ ( ( <M0> ) | ( . ) + ),0.732394366,0.70846409,12,0.47826087,0.36842105399999997,0.943472434,0.830875855,0.626407733,0.5140655679999999,0.7142857140000001,0.673469388,-1.0,0.0,0.0,0.35714285700000004,0.314285714
267,c,,None,correct,correct,correct,,,,"lines with a character , 0 or more times in front of a vowel",( ( . ) * ) . * ( [ <VOW> ] ) . *,在元音前面有0次或以上的字符的行,lines that have 0 or more characters in front of the vowel,( \ b ( . ) + * \ b ) . * ( [ <VOW> ] ) . *,0.6166666670000001,0.567317846,10,0.565217391,0.47368421,0.914836683,0.741851074,0.697157653,0.613896636,0.8125,0.7857142859999999,False,0.0,0.0,0.40625,0.36666666700000006
268,p,plural,p,bug,bug,bug,,,,lines ending with a number,( . * ) ( [ <NUM> ] ),以数字结尾的行,lines ending in numbers,( . * ) ( [ <NUM> ] ) +,0.7692307690000001,0.7533912759999999,1,0.956521739,0.947368421,0.9552937659999999,0.867626821,0.6973292720000001,0.6141387979999999,0.875,0.857142857,1.0,1.0,1.0,0.9375,0.933333333
269,a,BW,amb,a,bug,bug,,,,lines arranged with the string <M0> before the string <M1> or a number and the string <M2>,( ( <M0> ) . * ( <M1> ) . * ) | ( ( [ <NUM> ] ) & ( <M2> ) ),在字符串<M1>之前的字符串<M0>或数字和字符串<M2>排列的行,lines where the string <M0> or the numbers and the string <M2> are arranged before the string <M1>,( ( <M0> ) | ( ( [ <NUM> ] ) + & ( <M2> ) ) ) . * ( <M1> ) . *,0.551020408,0.487252979,7,0.695652174,0.6315789479999999,0.9814135959999999,0.948829935,0.811340542,0.7750134240000001,0.347826087,0.254658385,0.0,0.0,0.0,0.17391304300000002,0.11884058
270,p,BW,BW,bug,bug,bug,Under-translation,affiliation,"modification, under-translation",lines with words that have the string <M0> before a vowel or characters,\ b ( ( <M0> ) . * ( [ <VOW> ] ) . * ) | ( . ) + \ b,在元音或字符前带有字符串<M0>的单词的行,lines with the word <M0> before the vowel or character,\ b ( <M0> ) . * ( ( [ <VOW> ] ) | ( . ) ) . * \ b,0.6478873239999999,0.6053958389999999,5,0.7826086959999999,0.7368421059999999,0.964081153,0.8949456509999999,0.674732557,0.5822538970000001,0.578947368,0.5187969920000001,1.0,1.0,1.0,0.7894736840000001,0.775438596
271,p,plural,None,bug,bug,bug,,,,rows not having the string <M0> and a letter followed by a lower-case letter,( ~ ( <M0> ) ) & ( [ <LET> ] . * [ <LOW> ] . * ),没有字符串<M0>和字母后跟小写字母的行,lines without string <M0> and letters followed by lowercase letters,( ~ ( <M0> ) ) & ( [ <LET> ] . * [ <LET> ] . * ),0.7105263159999999,0.68179292,10,0.565217391,0.47368421,0.900102869,0.696045585,0.654167331,0.553235511,0.933333333,0.923809524,1.0,1.0,1.0,0.966666667,0.9644444440000001
272,c,,None,correct,correct,correct,,,,rows not having lettered words instead of the string <M0>,~ (( [ <LET> ] ) + & ( <M0> ) ),没有字母单词而不是字符串<M0>的行,lines without letter words instead of string <M0>,~ ( ( [ <LET> ] ) & ( <M0> ) ),0.684210526,0.649697104,10,0.565217391,0.47368421,0.9114003559999999,0.731167985,0.632499892,0.522661857,0.9090909090000001,0.896103896,1.0,1.0,1.0,0.954545455,0.951515152
273,p,plural,p,bug,bug,bug,,,,lines with a capital letter or a number before a vowel,( ( [ <CAP> ] ) | ( [ <NUM> ] ) ) . * ( [ <VOW> ] ) . *,元音前用大写字母或数字组成的行,a line consisting of capital letters or numbers before a vowel,. * ( ( [ <LET> ] ) + | ( [ <NUM> ] ) + ) . * ( [ <VOW> ] ) . * . *,0.725806452,0.7004292,6,0.739130435,0.6842105270000001,0.9632568979999999,0.89238315,0.64020785,0.533538105,0.681818182,0.636363636,0.0378605,0.037860500000000005,0.037860500000000005,0.35983934100000003,0.31716196399999996
274,BW,,None,bug,correct,correct,,,,strings starting from the string <M0> or the string <M1> in front of the string <M2>,( ( ( <M0> ) | ( <M1> ) ) ( . * ) ) . * ( <M2> ) . *,从字符串<M0>或字符串<M2>前面的字符串<M1>开始的字符串,character string starting from character string <M0> or character string <M1> before character string <M2>,( ( ( . ) ( . * ) ) | ( <M1> ) ) . * ( <M2> ) . *,0.632075472,0.586111056,9,0.608695652,0.52631579,0.9394147079999999,0.8182609190000001,0.550064412,0.40634197899999996,0.681818182,0.636363636,3.935783799999999e-06,3.93578e-06,3.93578e-06,0.34091105899999996,0.296971796
275,c,,None,correct,correct,correct,,,,strings with a vowel before a digit,( [ <VOW> ] ) . * ( [ <NUM> ] ) . *,在数字前带有元音的字符串,a string with a vowel before the number,( [ <VOW> ] ) . * ( [ <NUM> ] ) . *,0.692307692,0.65957274,1,0.956521739,0.947368421,0.949939141,0.850979996,0.66095566,0.562814124,1.0,1.0,1.0,1.0,1.0,1.0,1.0
276,FW,,FW,bug,correct,bug,plurality,affiliation,plurality,lines with words that don't have a character,\ b ~ ( . ) \ b,没有字符的单词行,word line without characters,~ ( \ b ~ ( . ) + \ b ),0.386363636,0.286430833,7,0.695652174,0.6315789479999999,0.8734350809999999,0.6131389420000001,0.411650058,0.21103359,0.6,0.542857143,0.0,0.0,0.0,0.3,0.253333333
277,p,FW,FW,bug,bug,bug,"Under-translation, order",order,"under-translation, order",lines with a lower-case letter or a letter in front of a capital letter,( ( [ <LOW> ] ) | ( [ <LET> ] ) ) . * ( [ <CAP> ] ) . *,小写字母或大写字母前面的行,rows before lowercase or uppercase letters,. * ( [ <CAP> ] ) | ( [ <LET> ] ) . *,0.366197183,0.261835001,10,0.565217391,0.47368421,0.796334793,0.373444292,0.281543581,0.02744796,0.4375,0.35714285700000004,0.381294,0.381294,0.381294,0.40939699999999996,0.37002346700000005
278,p,,None,bug,correct,correct,,,,rows not having an uppercase letter or a digit,~ ( ( [ <CAP> ] ) | ( [ <NUM> ] ) ),没有大写字母或数字的行,lines without capital letters or numbers,~ ( ( ( [ <LET> ] ) + | ( [ <NUM> ] ) + ) ),0.347826087,0.23942886,9,0.608695652,0.52631579,0.780773238,0.325065466,0.26209131,0.0,0.642857143,0.591836735,0.9996,0.9996,0.9996,0.8212285709999999,0.809310476
279,c,,None,correct,correct,correct,,,,"rows with words that have a character , 2 or greater times","\ b ( . ) { 2 , } \ b",包含2个或更多字符的单词的行,lines containing words of 2 or more characters,". * ( <M1> ) { 2 , } . *",0.24137931,0.109602009,6,0.739130435,0.6842105270000001,0.828871768,0.474597466,0.376972165,0.162101646,0.375,0.28571428600000004,0.0,0.0,0.0,0.1875,0.133333333
280,a,ambiguity,amb,a,correct,bug,,,,rows with words that don't have a vowel at least once,\ b ~ ( ( [ <VOW> ] ) + ) \ b,至少一次没有元音的单词的行,at least one line of words without vowels,+ \ b ~ ( [ <VOW> ] ) + . * +,0.245283019,0.114363133,14,0.39130434799999997,0.263157895,0.780163892,0.32317108899999997,0.487091241,0.317484225,0.5,0.428571429,False,0.0,0.0,0.25,0.2
281,a,ambiguity,amb,a,correct,bug,,,,rows not having a capitalized letter at least once,~ ( ( [ <CAP> ] ) + ),至少一次没有大写字母的行,at least one line without capital letters,+ + ~ ( [ <LET> ] ) + +,0.26,0.132312566,12,0.47826087,0.36842105399999997,0.78468922,0.33723973799999996,0.49651534,0.330782019,0.375,0.28571428600000004,False,0.0,0.0,0.1875,0.133333333
282,c,,None,correct,correct,correct,,,,"lines arranged with a lower-case letter or a capitalized letter , 2 or greater times","( ( [ <LOW> ] ) | ( [ <CAP> ] ) ) { 2 , }",行用小写字母或大写字母排列两次或以上,rows are arranged two or more times in lowercase or uppercase letters,{ { 2 ( ) } | ( ( [ <CAP> ] ) | ( [ <LET> ] ) + ) \ b },0.30952381,0.192713833,13,0.434782609,0.31578947399999996,0.86129869,0.575408499,0.444005284,0.256688155,0.538461538,0.472527473,0.0,0.0,0.0,0.269230769,0.22051282100000003
283,c,,None,correct,correct,correct,,,,lines are not words that end with a letter,~ ( \ b ( . * ) ( [ <LET> ] ) \ b ),行不是以字母结尾的单词,line is not a letter-terminated word,~ ( \ b ( [ <LET> ] ) * \ b ),0.333333333,0.221752903,5,0.7826086959999999,0.7368421059999999,0.926821126,0.77910913,0.47222521700000003,0.296507649,0.583333333,0.523809524,-1.0,0.0,0.0,0.291666667,0.24444444399999998
284,BW,ambiguity,amb,bug,correct,bug,,,,lines not having a lower-case letter and not a capital letter at least once,~ ( ( [ <LOW> ] ) & ( ( [ <CAP> ] ) + ) ),至少一次没有小写字母和大写字母的行,at least one line without lowercase and uppercase letters,+ + ( ~ ( [ <LET> ] ) + ) & ( [ <LET> ] ) +,0.306666667,0.189229145,15,0.347826087,0.21052631600000002,0.8539250429999999,0.552484801,0.44489834799999994,0.257948305,0.28571428600000004,0.18367346899999998,False,0.0,0.0,0.14285714300000002,0.085714286
285,c,,None,correct,correct,correct,,,,"lines arranged with words that have a character , 0 or more times",\ b ( . ) * \ b,包含0次或以上字符的单词的行,rows of words containing 0 or more characters,. * ( [ <LET> ] ) * | ( . ) + . *,0.292307692,0.17171635,11,0.52173913,0.421052631,0.850641323,0.542276147,0.409395757,0.207852678,0.23076923100000002,0.12087912099999999,0.0002479544,0.000247954,0.000247954,0.115508593,0.056542499
286,FW,FW,FW,bug,bug,bug,semantic,affiliation,"quantifier, affiliation","lines with a vowel , 5 or greater times in front of a lower-case letter","( ( [ <VOW> ] ) { 5 , } ) . * ( [ <LOW> ] ) . *",在小写字母前的5个或5次以上的元音行,5 or more vowel lines before the lower case,"( ( [ <NUM> ] ) { 5 , } ) . * ( [ <LOW> ] ) . *",0.352112676,0.24465695899999998,8,0.6521739129999999,0.578947369,0.83800795,0.503000653,0.34137095,0.11186685699999999,0.923076923,0.9120879120000001,0.0,0.0,0.0,0.46153846200000004,0.42564102600000003
287,a,ambiguity,amb,a,correct,bug,,,,rows not containing a number at least once,( . * ~ ( [ <NUM> ] ) . * ) +,至少一次不包含数字的行,at least one line that does not contain numbers,+ \ b . * [ <NUM> ] . * +,0.25531914899999997,0.126603608,11,0.52173913,0.421052631,0.837823274,0.50242652,0.613417061,0.495735191,0.454545455,0.37662337700000004,False,0.0,0.0,0.22727272699999998,0.17575757600000003
288,p,,p,bug,correct,bug,,,,"lines using a word that has a character , zero or greater times",. * \ b ( . ) * \ b . *,使用具有零个或更多次字符的单词的行,use a line of words with zero or more characters,( ( [ <LET> ] ) * ) | ( . ) + \ b,0.34920634899999997,0.24111228399999998,13,0.434782609,0.31578947399999996,0.888594413,0.66026731,0.41968647200000003,0.222373303,0.25,0.14285714300000002,0.00036127167,0.000361272,0.000361272,0.12518063599999998,0.066859345
289,p,plural,p,bug,bug,bug,,,,lines with a lower-case letter then a digit in front of an upper case letter,( [ <LOW> ] . * [ <NUM> ] . * ) . * ( [ <CAP> ] ) . *,带有小写字母的行，然后是大写字母前面的数字,"rows with lowercase letters , followed by the numbers before the capital letters",( [ <LET> ] ) . * ( [ <NUM> ] ) + . *,0.4375,0.34879883799999994,8,0.6521739129999999,0.578947369,0.8063425409999999,0.40455706399999997,0.42104022399999996,0.224283504,0.46666666700000003,0.39047619,-1.0,0.0,0.0,0.233333333,0.182222222
290,c,,None,correct,correct,correct,,,,"strings with a character or a number , seven or more times","( ( . ) | ( [ <NUM> ] ) ) { 7 , }",包含7个或更多字符或数字的字符串,string containing 7 or more characters or numbers,. * ( ( . ) | ( . ) + ) | ( [ <NUM> ] ) + . *,0.327586207,0.21474347300000002,8,0.6521739129999999,0.578947369,0.8720468809999999,0.60882321,0.5211819639999999,0.365587648,0.42105263200000004,0.338345865,0.0156,0.0156,0.0156,0.21832631600000002,0.166214737
291,FW,FW,FW,bug,bug,bug,semantic,semantic,semantic,"rows with a word that has a number , 6 or more times","\ b ( [ <NUM> ] ) { 6 , } \ b",一个单词的数字大于或等于6的行,lines where the number of a word is greater than or equal to 6,"( . * [ <LET> ] . * ) { 6 , }",0.290322581,0.16929522800000002,9,0.608695652,0.52631579,0.7904606909999999,0.355182482,0.401603806,0.196857912,0.125,0.0,0.0,0.0,0.0,0.0625,0.0
292,FW,,FW,bug,correct,bug,semantic,semantic,semantic,"lines arranged with a number , 4 or more times","( [ <NUM> ] ) { 4 , }",行数大于或等于4次,the number of rows is greater than or equal to 4 times,"( . * ) ( ( . * { 4 , } ) )",0.314814815,0.19916696,8,0.6521739129999999,0.578947369,0.7828179059999999,0.331422069,0.34338973799999994,0.11471545,0.272727273,0.16883116899999998,False,0.0,0.0,0.13636363599999998,0.078787879
293,p,plural,p,bug,bug,bug,,,,lines with a capitalized letter then a vowel,[ <CAP> ] . * [ <VOW> ] . *,行用大写字母然后是元音,line capital letters followed by vowels,[ <CAP> ] . * [ <VOW> ] . *,0.477272727,0.39730728600000004,10,0.565217391,0.47368421,0.87120639,0.606210234,0.480793545,0.308597915,1.0,1.0,1.0,1.0,1.0,1.0,1.0
294,p,,p,bug,correct,bug,,,,"lines with a word that has a lower-case letter or an upper case letter , 3 or greater times","\ b ( ( [ <LOW> ] ) | ( [ <CAP> ] ) ) { 3 , } \ b",带有3个或更多次小写字母或大写字母的单词的行,rows of words with 3 or more lowercase or uppercase letters,"\ b ( ( [ <LET> ] ) { 3 , } ) | ( [ <CAP> ] ) + . *",0.406593407,0.311103891,14,0.39130434799999997,0.263157895,0.8927021490000001,0.67303772,0.428482226,0.234784477,0.571428571,0.510204082,-1.0,0.0,0.0,0.28571428600000004,0.23809523800000001
295,c,,None,correct,correct,correct,,,,"lines with digits , 5 or more times","( [ <NUM> ] ) { 5 , }",5位或以上的数字行,5 or more digit rows,+ | ( ( [ <NUM> ] ) + | ( [ <NUM> ] ) ) +,0.314285714,0.198521647,5,0.7826086959999999,0.7368421059999999,0.80651238,0.405085071,0.393860771,0.18593216899999998,0.23076923100000002,0.12087912099999999,False,0.0,0.0,0.115384615,0.056410256
296,c,,None,correct,correct,correct,,,,"lines not having a character , not an upper case letter , nor a lower-case letter",~ ( ( . ) & ( [ <CAP> ] ) & ( [ <LOW> ] ) ),没有字符，没有大写字母或小写字母的行,"no characters , no capital or lowercase lines",| ( . ) + | ( . ) + | ( [ <LOW> ] ),0.444444444,0.35726856700000004,10,0.565217391,0.47368421,0.840144599,0.509643214,0.35097200700000003,0.125414346,0.428571429,0.346938776,0.0,0.0,0.0,0.214285714,0.16190476199999998
297,c,,None,correct,correct,correct,,,,rows not having a lower-case letter,~ ( [ <LOW> ] ),没有小写字母的行,lines without lowercase letters,~ ( [ <LET> ] ) +,0.542857143,0.47729672700000003,8,0.6521739129999999,0.578947369,0.75045658,0.230814966,0.47570138700000003,0.30141266899999997,0.6,0.542857143,0.9996,0.9996,0.9996,0.7998,0.786453333
298,c,,None,correct,correct,correct,,,,"rows not having a digit , not a vowel , and not a capitalized letter",~ ( ( [ <NUM> ] ) & ( [ <VOW> ] ) & ( [ <CAP> ] ) ),没有数字，元音和大写字母的行,"lines without numbers , vowels and capital letters",~ ( ( [ <NUM> ] ) + & ( [ <NUM> ] ) + ) & ( [ <LET> ] ) +,0.441176471,0.353282813,15,0.347826087,0.21052631600000002,0.795287031,0.37018693799999997,0.362657401,0.141902921,0.647058824,0.596638655,0.0,0.0,0.0,0.323529412,0.278431373
299,c,,None,correct,correct,correct,,,,"rows not having a digit , not a capitalized letter , and not a vowel",~ ( ( [ <NUM> ] ) & ( [ <CAP> ] ) & ( [ <VOW> ] ) ),没有数字，大写字母和元音的行,"lines without numbers , capital letters and vowels",~ ( ( [ <NUM> ] ) + & ( [ <LET> ] ) + ) & ( [ <VOW> ] ) +,0.441176471,0.353282813,13,0.434782609,0.31578947399999996,0.78764099,0.346416403,0.359696685,0.137725228,0.705882353,0.663865546,0.0454545,0.0454545,0.0454545,0.375668426,0.334046322
300,p,plural,p,bug,bug,bug,,,,rows containing ending with an upper case letter,. * ( . * ) ( [ <CAP> ] ) . *,包含以大写字母结尾的行,contains lines ending in capital letters,. * ( . * ) ( [ <LET> ] ) + . *,0.5,0.425026399,6,0.739130435,0.6842105270000001,0.7823321529999999,0.329911927,0.454288074,0.271197597,0.833333333,0.80952381,0.88055,0.88055,0.88055,0.8569416670000001,0.847404444
301,c,,None,correct,correct,correct,,,,lines with the string <M0> at least once and not the string <M1>,( ( <M0> ) + ) & ( ~ ( <M1> ) ),至少使用一次字符串<M0>而不是字符串<M1>,use the string <M0> at least once instead of the string <M1>,( ( <M0> ) + ) & ( ~ ( <M1> ) ),0.75,0.7299366420000001,11,0.52173913,0.421052631,0.8965316259999999,0.68494306,0.7427181509999999,0.678184387,1.0,1.0,1.0,1.0,1.0,1.0,1.0
302,c,plural,p,correct,bug,correct,,,,lines starting with numbers at least one time before a vowel,( ( ( [ <NUM> ] ) + ( . * ) ) + ) . * ( [ <VOW> ] ) . *,以数字开头的行至少在元音之前一次,lines beginning with a number at least once before the vowel,( ( ( [ <NUM> ] ) ( . * ) ) + ) . * ( [ <VOW> ] ) . *,0.716666667,0.6892819440000001,10,0.565217391,0.47368421,0.97808281,0.93847496,0.712235275,0.635171786,0.95,0.942857143,1.0,1.0,1.0,0.975,0.973333333
303,c,,None,correct,correct,correct,,,,lines ending with a vowel followed by a letter at least once,( . * ) ( ( [ <VOW> ] . * [ <LET> ] . * ) + ),以元音结尾且后接字母至少一次的行,a line ending in a vowel and followed by a letter at least once,( ( . * ) ( [ <VOW> ] ) ) & ( . * [ <LET> ] . * ),0.8412698409999999,0.84125308,10,0.565217391,0.47368421,0.967728797,0.906285696,0.80989752,0.77297726,0.529411765,0.46218487399999997,-1.0,0.0,0.0,0.264705882,0.215686275
304,FW,FW,FW,bug,bug,bug,"quantifier, under-translation",ut/quantity,"quantifier, under-translation",rows with words that have starting with lettered words at least one time ,\ b (( [ <LET> ] ) + ( . * ) ) + \ b,包含至少以字母开头的单词的行,lines containing words that start with at least letters,. * \ b ( [ <LET> ] ) + \ b . *,0.41095890399999996,0.31642823,10,0.565217391,0.47368421,0.8499020070000001,0.539977711,0.528580536,0.37602734,0.384615385,0.296703297,0.28191,0.28191,0.28191,0.33326269199999997,0.288813538
305,c,,None,correct,correct,correct,,,,lines starting with the string <M0> followed by a lower-case letter at least once,( ( <M0> . * [ <LOW> ] . * ) ( . * ) ) +,以字符串<M0>开头的行，其后至少一个小写字母,"lines beginning with the string <M0> , followed by at least one lowercase letter",( ( <M0> . * [ <NUM> ] . * ) ( . * ) ),0.62962963,0.583128007,10,0.565217391,0.47368421,0.964973311,0.897719252,0.807681364,0.769850172,0.8666666670000001,0.847619048,0.426425,0.426425,0.426425,0.646545833,0.622982222
306,FW,,FW,bug,correct,bug,"affiliation, over-translation",affiliation,"affiliation, over-translation",strings with a vowel before the string <M0> at least once,( [ <VOW> ] ) . * ( ( <M0> ) + ) . *,在字符串<M0>之前的一个元音字符串至少出现一次,a vowel string before the string <M0> appears at least once,( [ <VOW> ] ) . * ( ( <M0> ) + ) . * +,0.559322034,0.49737798200000005,10,0.565217391,0.47368421,0.9528967009999999,0.860174661,0.8182147890000001,0.784713271,0.9285714290000001,0.918367347,False,0.0,0.0,0.46428571399999996,0.428571429
307,p,plural,p,bug,bug,bug,,,,lines are not a word that has the string <M0> followed by a numeric character,~ ( \ b <M0> . * [ <NUM> ] . * \ b ),行不是包含字符串<M0>后跟数字字符的单词,line is not a word containing the string <M0> followed by numeric characters,~ ( . * <M0> . * [ <NUM> ] . * . * ),0.792207792,0.781414995,10,0.565217391,0.47368421,0.9774150079999999,0.936398851,0.770925863,0.717986637,0.692307692,0.648351648,-1.0,0.0,0.0,0.346153846,0.30256410300000003
308,FW,FW,FW,bug,bug,bug,quantifier ,quantity,quantifier,rows with a lower case letter at least once before a letter,( ( [ <LOW> ] ) + ) . * ( [ <LET> ] ) . *,在一个字母之前至少有一个带有小写字母的行,there is at least one line with lowercase letters before a letter,( \ b [ <LET> ] ) . * ( [ <LET> ] ) . * \ b,0.47692307700000003,0.39688083799999996,10,0.565217391,0.47368421,0.8207619740000001,0.449385184,0.699787497,0.617607455,0.615384615,0.56043956,0.00041169205000000003,0.00041169199999999996,0.00041169199999999996,0.307898154,0.261758031
309,c,,None,correct,correct,correct,,,,"strings containing a capitalized letter , 6 or more times in front of the string <M0>","( . * ( [ <CAP> ] ) { 6 , } . * ) . * ( <M0> ) . *",包含大写字母的字符串，在字符串<M0>前面至少6次,"a string containing capital letters , at least 6 times before the string <M0>",". * ( ( [ <LET> ] ) + { 5 , } ) . * ( <M0> ) . * . *",0.670588235,0.6330828000000001,10,0.565217391,0.47368421,0.9289190340000001,0.78563125,0.644204045,0.539176902,0.5555555560000001,0.49206349200000005,False,0.0,0.0,0.27777777800000003,0.22962963
310,c,,None,correct,correct,correct,,,,rows with a letter at least once before a string that is not a number,( ( [ <LET> ] ) + ) . * ( ~ ( [ <NUM> ] ) ) . *,在不是数字的字符串之前至少有一个字母的行,there is a line with at least one letter before the string that is not a number,( ( [ <LET> ] ) + ) . * ( ~ ( [ <NUM> ] ) ) . *,0.6835443040000001,0.6488845529999999,10,0.565217391,0.47368421,0.889973621,0.664555086,0.737809066,0.671257465,1.0,1.0,1.0,1.0,1.0,1.0,1.0
311,FW,,FW,bug,correct,bug,quantifier ,quantity,quantifier,lines with the string <M0> before a letter at least once,( <M0> ) . * ( ( [ <LET> ] ) + ) . *,在一个字母前用字符串<M0>行至少一次,use the string <M0> line at least once before a letter,( ( ( <M0> ) + ) . * ( [ <LET> ] ) . * ),0.39285714299999996,0.294350581,10,0.565217391,0.47368421,0.955918849,0.8695701220000001,0.826062292,0.795786423,0.46666666700000003,0.39047619,1.0,1.0,1.0,0.7333333329999999,0.715555556
312,p,plural,None,bug,bug,bug,,,,"lines with a lower-case letter before either the string <M0> , a letter , or the string <M1>",( [ <LOW> ] ) . * ( ( <M0> ) | ( [ <LET> ] ) | ( <M1> ) ) . *,在字符串<M0>，一个字母或字符串<M1>之前使用小写字母的行,"use lowercase letters before the string <M0> , a letter or the string <M1>",( ~ ( [ <LET> ] ) + ) . * ( ( <M0> ) | ( [ <LET> ] ) ) . *,0.760869565,0.7431936090000001,10,0.565217391,0.47368421,0.918481698,0.7531829459999999,0.71270787,0.635838637,0.55,0.485714286,0.0156,0.0156,0.0156,0.2828,0.23498666699999998
313,FW,FW,FW,bug,bug,bug,quantifier ,quantity,quantifier,lines with the string <M0> at least once or containing a capital letter,( ( <M0> ) + ) | ( . * [ <CAP> ] . * ),至少一次用字符串<M0>或包含大写字母的行,use the string <M0> or lines containing capital letters at least once,( ( <M0> ) | ( . * [ <LET> ] . * ) . * ) +,0.46478873200000004,0.38208129399999996,9,0.608695652,0.52631579,0.949191695,0.848656285,0.8375689190000001,0.812022751,0.5625,0.5,0.88055,0.88055,0.88055,0.721525,0.70296
314,c,,None,correct,correct,correct,,,,"lines with the string <M0> , 3 or more times or a vowel followed by the string <M1>","( ( <M0> ) { 3 , } ) | ( [ <VOW> ] . * <M1> . * )",字符串<M0>的行，3次或更多次或元音后跟字符串<M1>,"line of string <M0> , 3 or more times or vowel followed by string <M1>",( ( . * <M0> . * ) | ( [ <VOW> ] . * <M1> . * ) ),0.819277108,0.814429842,9,0.608695652,0.52631579,0.99176726,0.981018114,0.771254386,0.718450197,0.7222222220000001,0.682539683,8.309789000000002e-05,8.30979e-05,8.30979e-05,0.36115266,0.318562837
